loan_amnt,term,int_rate,installment,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_il_6m,sec_app_chargeoff_within_12_mths,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount
12000, 36 months,0.0532,361.38,Network Operation Engineer,4 years,MORTGAGE,53750,Source Verified,42339,Fully Paid,n,,,debt_consolidation,Debt consolidation,850xx,AZ,15.3,1,39326,0,19,,8,0,3172,0.172,19,w,0,0,12463.54,12463.54,12000,463.54,0,0,0,42675,9219.99,,42948,0,,1,INDIVIDUAL,,,,0,0,142615,0,1,0,2,17,6468,22,0,0,0,22,18400,2,6,1,3,17827,8500,0,0,0,99,60,35,9,2,37,19,11,19,0,0,3,2,3,10,5,6,3,8,0,0,0,1,94.7,0,0,0,183062,11146,8500,29053,,,,,N,,,,,,,,,,,,,,
10000, 60 months,0.1659,246.33,Emergency Department technician ,< 1 year,RENT,30000,Source Verified,42339,Fully Paid,n,,,debt_consolidation,Debt consolidation,447xx,OH,30.84,0,36770,2,78,91,19,1,6118,0.266,36,w,0,0,10757.52,10757.52,10000,757.52,0,0,0,42522,9795.24,,42948,0,78,1,INDIVIDUAL,,,,0,0,65214,2,14,1,3,5,59096,94,1,1,4807,76,23000,5,0,7,4,3432,15310,28.1,0,0,183,162,3,3,0,3,,1,,1,3,4,3,5,28,4,8,4,19,0,0,0,2,96.9,0,1,0,85929,65214,21300,62929,,,,,N,,,,,,,,,,,,,,
15000, 36 months,0.098,482.61,Electronic Branch Manager,3 years,MORTGAGE,92000,Not Verified,42339,Fully Paid,n,,,debt_consolidation,Debt consolidation,973xx,OR,13.89,0,37196,1,,67,7,2,12703,0.352,31,w,0,0,15415.46,15415.46,15000,415.46,0,0,0,42461,14450.25,,42795,0,,1,INDIVIDUAL,,,,0,0,312996,0,2,2,2,8,40694,70,1,1,7045,42,36100,0,3,2,5,44714,23397,35.2,0,0,159,169,12,8,6,12,,4,,0,3,3,4,9,15,4,10,3,7,0,0,0,4,100,0,1,0,347470,53397,36100,47370,,,,,N,,,,,,,,,,,,,,
21000, 60 months,0.1344,482.56,Teacher,2 years,RENT,54649,Source Verified,42339,Fully Paid,n,,,debt_consolidation,Debt consolidation,761xx,TX,12.14,0,36434,0,,48,9,1,1581,0.268,44,w,0,0,24473.22762,24473.23,21000,3473.23,0,0,0,42856,17274.03,,42948,0,,1,INDIVIDUAL,,,,0,0,51489,0,7,0,2,14,49908,97,0,1,1097,89,5900,1,3,1,3,5721,4319,26.8,0,0,186,194,17,14,2,17,,0,,0,2,2,2,14,25,2,17,2,9,0,0,0,0,100,50,1,0,57564,51489,5900,51664,,,,,N,,,,,,,,,,,,,,
15850, 60 months,0.2313,448.01,Lead manufacturing ,10+ years,OWN,45000,Not Verified,42339,Current,n,,,debt_consolidation,Debt consolidation,440xx,OH,34.85,0,39083,1,,,18,0,8799,0.213,24,f,12617.29,12617.29,8461.27,8461.27,3232.71,5228.56,0,0,0,42948,448.01,42979,42948,0,,1,INDIVIDUAL,,,,0,25,45025,3,2,2,3,5,36226,84,2,2,6833,53,41300,1,0,1,5,2649,12808,35.6,0,0,90,107,2,2,0,10,,5,,0,2,4,4,4,7,16,17,4,18,0,0,0,4,100,0,0,0,84300,45025,19900,43000,,,,,N,,,,,,,,,,,,,,
5000, 36 months,0.1344,169.54,General Manager,2 years,RENT,79000,Verified,42339,Current,n,,,credit_card,Credit card refinancing,214xx,MD,12.7,0,40817,0,,,3,0,9441,1.015,5,w,2610.86,2610.86,3235.64,3235.64,2389.14,846.5,0,0,0,42948,169.54,42979,42948,0,,1,INDIVIDUAL,,,,0,0,35653,0,1,0,1,19,26212,83,0,0,4360,87,9300,2,0,0,1,11884,0,101.4,0,0,50,36,32,19,0,36,,19,,0,1,2,1,1,3,2,2,2,3,0,0,0,0,100,100,0,0,41091,35653,4300,31791,,,,,N,,,,,,,,,,,,,,
9600, 36 months,0.0749,298.58,tech,8 years,MORTGAGE,60000,Not Verified,42339,Current,n,,,credit_card,Credit card refinancing,299xx,SC,22.44,0,35217,0,,,7,0,7722,0.594,9,w,4801.49,4801.49,5663.03,5663.03,4798.51,864.52,0,0,0,42948,298.58,42979,42948,0,,1,INDIVIDUAL,,,,0,0,55387,0,3,0,0,47,47665,43,2,2,4744,50,13000,0,0,2,2,7912,4778,61.8,0,0,234,91,9,9,0,11,,9,,0,3,3,3,3,5,4,4,3,7,0,0,0,2,100,66.7,0,0,88635,55387,12500,75635,,,,,N,,,,,,,,,,,,,,
17925, 60 months,0.1727,448.09,IT Help Desk Support ,10+ years,OWN,39000,Source Verified,42339,Current,n,,,debt_consolidation,Debt consolidation,432xx,OH,27.78,0,37500,1,,,10,0,19614,0.76,21,w,13804.4,13804.4,8470.71,8470.71,4120.6,4350.11,0,0,0,42948,448.09,42979,42948,0,,1,INDIVIDUAL,,,,0,0,102008,0,2,0,1,23,19930,76,0,3,5426,76,25800,1,6,1,4,10201,2618,78.9,0,0,136,156,21,21,4,21,,6,,0,2,5,3,5,5,7,12,7,10,0,0,0,0,100,66.7,0,0,122214,39544,12400,26199,,,,,N,,,,,,,,,,,,,,
35000, 60 months,0.1199,778.38,Foreign Service Officer,10+ years,MORTGAGE,128000,Source Verified,42339,Current,n,,,home_improvement,Home improvement,200xx,DC,6.46,0,32905,0,46,,17,0,14277,0.274,46,w,26081.16,26081.16,14730.94,14730.94,8918.84,5812.1,0,0,0,42948,778.38,42979,42948,0,56,1,INDIVIDUAL,,,,0,321,146867,1,11,0,0,28,35367,49,0,1,5020,40,52200,1,4,0,3,8639,17248,35.6,0,0,206,310,19,3,5,99,46,15,46,1,3,4,3,6,26,5,11,4,17,0,0,0,1,91.3,33.3,0,0,220950,49644,26800,71700,,,,,N,,,,,,,,,,,,,,
16000, 60 months,0.1797,406.04,Professional Sales Associate,< 1 year,MORTGAGE,109000,Source Verified,42339,Fully Paid,n,,,debt_consolidation,Debt consolidation,880xx,NM,23.35,0,37347,1,,,11,0,42469,0.876,33,w,0,0,17471.57,17471.57,16000,1471.57,0,0,0,42552,15481.3,,42552,0,,1,INDIVIDUAL,,,,0,0,182936,2,2,2,2,3,20689,94,1,3,8897,90,48500,0,3,1,5,16631,0,100.8,0,0,149,164,3,3,1,13,,1,,0,3,6,3,13,10,8,22,6,11,0,0,0,3,100,100,0,0,228050,63158,15800,22000,,,,,N,,,,,,,,,,,,,,
20000, 36 months,0.0917,637.58,Vice President of Recruiting Operations,10+ years,MORTGAGE,180000,Not Verified,42339,Fully Paid,n,,,debt_consolidation,Debt consolidation,550xx,MN,14.67,0,33025,0,49,,12,0,87329,0.845,27,f,0,0,21393.8,21393.8,20000,1393.8,0,0,0,42675,15681.05,,42675,0,,1,INDIVIDUAL,,,,0,0,360358,0,2,0,2,18,29433,63,2,3,13048,74,94200,1,0,1,6,30030,0,102.9,0,0,142,306,10,10,4,12,,10,,0,4,6,4,5,7,9,16,6,12,0,0,0,2,96.3,100,0,0,388852,116762,31500,46452,,,,,N,,,,,,,,,,,,,,
7200, 36 months,0.0917,229.53,Site lead,10+ years,MORTGAGE,50000,Not Verified,42339,Fully Paid,n,,,debt_consolidation,Debt consolidation,015xx,MA,19.25,0,31990,0,70,,13,0,9051,0.476,25,w,0,0,7598.05,7598.05,7200,398.05,0,0,0,42583,6206.89,,42948,0,,1,INDIVIDUAL,,,,0,0,218695,0,2,0,2,14,18276,74,2,4,3281,63,19000,1,3,2,8,19881,9949,47.6,0,0,120,137,11,9,3,11,,10,,0,6,6,8,13,7,9,14,6,13,0,0,0,3,96,37.5,0,0,236795,27327,19000,24744,,,,,N,,,,,,,,,,,,,,
12000, 36 months,0.1078,391.62,Public Affairs Specialist ,1 year,RENT,98000,Not Verified,42339,Fully Paid,n,,,debt_consolidation,Debt consolidation,993xx,WA,24.04,0,37288,0,33,61,15,1,20462,0.628,39,w,0,0,13349.66559,13349.67,12000,1349.67,0,0,0,42826,7884.96,,42887,0,69,1,INDIVIDUAL,,,,0,5930,374585,0,4,1,3,9,82819,66,1,2,12597,65,32600,1,1,0,5,26756,3884,83.9,0,0,147,166,9,9,8,9,69,15,69,4,3,5,3,6,17,8,14,5,15,0,0,0,2,87.2,66.7,0,0,478544,103281,24100,120544,,,,,N,,,,,,,,,,,,,,
12000, 36 months,0.0917,382.55,Registered Veterinary Technitian ,4 years,MORTGAGE,39400,Not Verified,42339,Fully Paid,n,,,debt_consolidation,Debt consolidation,958xx,CA,26.32,0,38961,1,68,,18,0,10495,0.346,25,w,0,0,13277.56617,13277.57,12000,1277.57,0,0,0,42887,7172.05,,42948,0,,1,INDIVIDUAL,,,,0,0,153211,0,2,0,1,18,21661,68,1,2,2688,52,30300,0,0,3,3,10214,8209,49.6,0,0,110,111,12,12,2,40,,3,68,0,4,5,5,6,4,15,19,6,18,0,0,0,1,96,40,0,0,191950,32156,16300,32022,,,,,N,,,,,,,,,,,,,,
8650, 36 months,0.0532,260.5,Associate Consultant,< 1 year,MORTGAGE,100000,Not Verified,42339,Current,n,,,credit_card,Credit card refinancing,462xx,IN,7.28,0,37073,0,,,15,0,7158,0.267,24,w,4256.4,4256.4,4943.11,4943.11,4393.6,549.51,0,0,0,42948,260.5,42979,42948,0,,1,INDIVIDUAL,,,,0,0,165450,0,1,1,1,11,24041,89,0,3,3081,58,26800,1,0,5,5,13788,11142,39.1,0,0,73,173,16,11,1,20,,11,,0,3,3,9,10,5,13,18,3,15,0,0,0,1,100,0,0,0,191618,31199,18300,27078,,,,,N,,,,,,,,,,,,,,
24000, 60 months,0.098,507.58,,n/a,OWN,77900,Not Verified,42339,Current,n,,,home_improvement,Home improvement,376xx,TN,10.24,0,30225,1,50,,9,0,3454,0.103,21,w,17624.05,17624.05,9611.35,9611.35,6375.95,3235.4,0,0,0,42948,507.58,42979,42948,0,50,1,INDIVIDUAL,,,,0,0,127412,0,1,0,0,73,1456,4,0,1,3309,7,33600,1,0,2,1,14157,27172,10.9,0,0,139,398,22,22,2,22,,0,,1,2,3,4,6,6,7,13,3,9,0,0,0,0,95.2,0,0,0,202351,4910,30500,33631,,,,,N,,,,,,,,,,,,,,
28800, 60 months,0.1199,640.5,Office Manager,10+ years,OWN,60000,Not Verified,42339,Current,n,,,debt_consolidation,Debt consolidation,331xx,FL,18.01,0,32540,0,,,21,0,18421,0.105,37,w,21459.73,21459.73,12121.54,12121.54,7340.27,4781.27,0,0,0,42948,640.5,42979,42948,0,,1,INDIVIDUAL,,,,0,0,41270,2,1,1,1,8,22849,91,3,7,7303,21,175800,1,0,2,8,2428,141793,11.2,0,0,94,322,5,5,2,11,,8,,0,8,10,13,20,3,20,31,10,21,0,0,0,4,100,0,0,0,200980,41270,159700,25180,,,,,N,,,,,,,,,,,,,,
27300, 36 months,0.1727,977,groundsman,10+ years,MORTGAGE,65000,Not Verified,42339,Charged Off,n,,,home_improvement,Home improvement,117xx,NY,25.63,0,37561,0,,,14,0,31035,0.83,38,w,0,0,8727.52,8727.52,5569.98,3157.54,0,0,0,42644,977,,42948,0,,1,INDIVIDUAL,,,,0,0,238105,0,1,0,2,16,29947,81,2,3,9413,82,37400,2,2,3,7,18316,3924,87.7,0,0,150,157,11,9,2,17,,8,,0,7,9,7,17,5,11,31,9,14,0,0,0,3,100,85.7,0,0,253900,60982,32000,37192,,,,,N,,,,,,,,,,,,,,
8000, 36 months,0.1078,261.08,Counselor,< 1 year,MORTGAGE,45000,Not Verified,42339,Current,n,,,debt_consolidation,Debt consolidation,482xx,MI,21.23,0,35796,0,34,,28,0,11141,0.355,69,w,4098.94,4098.94,4948.54,4948.54,3901.06,1047.48,0,0,0,42948,261.08,42979,42948,0,61,1,INDIVIDUAL,,,,0,0,148154,2,2,0,1,13,136887,86,4,6,1984,49,31400,2,2,0,7,5926,1188,79.5,0,0,147,215,4,4,2,13,,13,34,1,3,11,3,6,21,25,45,12,27,0,0,0,4,97.1,100,0,0,168819,148154,5800,136996,,,,,N,,,,,,,,,,,,,,
1500, 36 months,0.0649,45.97,,n/a,MORTGAGE,45000,Not Verified,42339,Fully Paid,n,,,vacation,Vacation,967xx,HI,16.11,0,32112,0,39,,12,0,3717,0.212,37,w,0,0,1598.983365,1598.98,1500,98.98,0,0,0,42826,956.75,,42948,0,,1,INDIVIDUAL,,,,0,0,158643,3,2,1,2,3,14683,81,3,5,3382,52,17500,0,1,1,8,15864,8818,27.7,0,0,123,336,6,3,4,6,39,12,39,0,1,3,4,15,8,9,25,3,12,0,0,0,4,97.2,0,0,0,179105,18400,12200,18050,,,,,N,,,,,,,,,,,,,,
8650, 36 months,0.1989,320.99,Program Coordinator ,8 years,RENT,55000,Verified,42339,Fully Paid,n,,,debt_consolidation,Debt consolidation,462xx,IN,25.49,0,38412,4,,30,18,1,9568,0.46,19,w,0,0,9190.49,9190.49,8650,540.49,0,0,0,42491,8251.42,,42522,0,,1,INDIVIDUAL,,,,0,0,18926,6,1,0,1,19,9358,51,12,16,653,46,20750,2,0,5,17,1051,1375,45,0,0,129,95,0,0,0,8,,0,,0,2,17,2,2,2,17,17,13,18,,0,0,12,100,50,1,0,38998,18926,2750,18248,,,,,N,,,,,,,,,,,,,,
10400, 60 months,0.2245,289.91,Contract Specialist,3 years,MORTGAGE,104433,Source Verified,42339,Fully Paid,n,,,major_purchase,Major purchase,174xx,PA,25.37,1,35947,3,12,,12,0,21929,0.645,35,w,0,0,11740.5,11740.5,10400,1340.5,0,0,0,42552,10128.96,,42736,0,,1,INDIVIDUAL,,,,0,0,331730,1,3,0,3,14,73839,84,4,7,9702,78,34000,2,1,3,10,27644,4567,77.5,0,0,128,210,4,4,6,4,12,1,12,0,4,6,5,9,10,7,19,6,12,0,0,0,4,96.6,60,0,0,439570,95768,20300,88097,,,,,N,,,,,,,,,,,,,,
10000, 36 months,0.1078,326.35,Lpn,3 years,MORTGAGE,41600,Not Verified,42339,Fully Paid,n,,,debt_consolidation,Debt consolidation,472xx,IN,15.78,0,38261,0,,,18,0,12958,0.525,33,w,0,0,11289.95069,11289.95,10000,1289.95,0,0,0,42917,5756.97,,42917,0,,1,INDIVIDUAL,,,,0,0,168304,2,9,2,3,2,27723,94,0,2,4958,75,24700,2,4,2,5,9350,4617,66.8,0,0,134,124,16,2,2,16,,7,,0,2,5,3,4,16,8,15,5,18,0,0,0,2,100,33.3,0,0,190694,40681,13900,29512,,,,,N,,,,,,,,,,,,,,
15000, 36 months,0.0532,451.73,,n/a,RENT,80000,Not Verified,42339,Current,n,,,debt_consolidation,Debt consolidation,236xx,VA,20.18,0,34060,1,35,,30,0,41593,0.214,47,w,7381.12,7381.12,8576.22,8576.22,7618.88,957.34,0,0,0,42948,451.73,42979,42948,0,,1,INDIVIDUAL,,,,0,0,330562,1,1,0,0,54,55536,,2,6,2491,21,194800,1,1,3,6,13773,114609,4.2,0,0,141,272,2,2,2,2,,1,35,0,7,12,12,19,6,28,39,12,30,0,0,0,2,97.9,0,0,0,537200,97129,119600,94400,,,,,N,,,,,,,,,,,,,,
10000, 36 months,0.0791,312.95,Teacher,2 years,RENT,40100,Not Verified,42339,Current,n,,,credit_card,Credit card refinancing,453xx,OH,10.81,0,36069,1,,,4,0,6664,0.45,7,w,5017.24,5017.24,5935.06,5935.06,4982.76,952.3,0,0,0,42948,312.95,42979,42948,0,,1,INDIVIDUAL,,,,0,1036,27354,1,1,0,0,76,20690,101,1,2,5037,78,14800,0,0,1,2,6839,6420,50.6,0,0,124,206,1,1,0,24,,1,,0,2,3,2,2,3,3,4,3,4,0,0,0,1,100,0,0,0,35247,27354,13000,20447,,,,,N,,,,,,,,,,,,,,
25000, 60 months,0.1148,549.57,Project Manager,10+ years,MORTGAGE,135000,Not Verified,42339,Fully Paid,n,,,credit_card,Credit card refinancing,774xx,TX,4.65,0,38261,0,47,,16,0,7340,0.135,33,w,0,0,26482.58,26482.58,25000,1482.58,0,0,0,42552,23774.59,,42552,0,47,1,INDIVIDUAL,,,,0,0,23522,0,1,1,2,7,16182,91,2,6,2990,33,54400,1,1,5,9,1470,38700,15.5,0,0,134,100,7,7,5,10,,3,,1,3,4,11,13,6,15,21,4,16,0,0,0,4,97,0,0,0,72150,23522,45800,17750,,,,,N,,,,,,,,,,,,,,
7000, 36 months,0.0749,217.72,Carrier,10+ years,MORTGAGE,59000,Not Verified,42339,Current,n,,,credit_card,Credit card refinancing,215xx,MD,13.06,1,35339,1,23,,10,0,10467,0.242,34,w,3305.12,3305.12,4332.55,4332.55,3694.88,637.67,0,0,0,42948,217.72,42979,42948,0,,1,INDIVIDUAL,,,,0,0,55222,0,1,0,0,45,5337,26,1,2,6987,25,43200,0,2,2,2,6136,26118,26,0,0,124,223,10,10,3,34,,1,,0,2,4,4,5,14,8,17,4,10,0,0,0,1,97.1,0,0,0,115502,15804,35300,20402,,,,,N,,,,,,,,,,,,,,
20000, 36 months,0.1577,700.88,Clinical Intake,5 years,RENT,70000,Not Verified,42339,Fully Paid,n,,,house,Home buying,331xx,FL,22.21,0,38169,0,38,,24,0,19077,0.366,63,w,0,0,21780.58678,21780.59,20000,1780.59,0,0,0,42705,2815.6,,42736,0,38,1,INDIVIDUAL,,,,0,264,63456,2,3,0,0,47,44379,84,6,9,2957,61,52100,0,0,3,9,2759,12279,48,0,0,131,137,2,2,1,2,,9,,5,8,17,9,9,39,21,23,17,24,0,0,0,6,92.1,0,0,0,104696,63456,23600,52596,,,,,N,,,,,,,,,,,,,,
